epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,0.49788535194298655,0.39638553754685774,0.258123696767293,0.4464500326177348,0.4747215405754421,0.3262518116313478
2,0.43365255858480317,0.4501244490390125,0.3003563401433303,0.4190601823122605,0.43032714335814765,0.29171574342509976
3,0.42558267512886794,0.4593302172983123,0.3090229598882118,0.39383130747339,0.5065969054627678,0.3560378189482119
4,0.41825132256316155,0.4753884384438745,0.32475878652915774,0.3957697813925536,0.4377017975177454,0.30552447664187005
5,0.41740259958296705,0.44716258754128035,0.30081244953667996,0.3888778725396032,0.48984640844814153,0.3422724018683252
6,0.40824278205940406,0.5082508795654651,0.3478788659744656,0.4265051950579104,0.3187262231241102,0.2042554970020833
7,0.40367751852753236,0.5036346665055481,0.343574395115228,0.37259122340575507,0.5107550363501777,0.35671262410671817
8,0.4035825760094161,0.5056345910602009,0.3462694539621319,0.38355475340200507,0.5628407717398975,0.40997124560501264
9,0.3937888908939263,0.5311780458258599,0.3739074367223327,0.38524043754391046,0.43480680664272414,0.2944467465757676
10,0.3950017105365537,0.5202841204543089,0.36109271157801764,0.5032294243574142,0.047457274145861476,0.026193017866849383
11,0.39424142671614576,0.5127826941382024,0.35448485551421177,0.35973120707532635,0.4974858654743951,0.3477994437207994
12,0.37045870214393456,0.555348430328148,0.3947424767250867,0.3841756187055422,0.44378871487898996,0.2993889401676943
13,0.39058596786764477,0.5356642590048387,0.3738408374417688,0.4116964236549709,0.5472593663827233,0.39304614617772726
14,0.38423698080569196,0.5242836054452916,0.3696598199378584,0.35585862009421637,0.5097106879819995,0.3629370092049889
15,0.3730584189449389,0.5593439990404955,0.3991974173593767,0.44565545864727185,0.54650302004555,0.39353337155088136
16,0.3860258329467675,0.52361928364358,0.36687869302083537,0.4319427557613539,0.5599339031006979,0.4046744581149972
17,0.37762282251082746,0.5531538068940959,0.39247386149831653,0.37353884007619775,0.4505343651803939,0.30950990315202787
18,0.3764040628352116,0.5442220385848862,0.38662396724691095,0.47952615307724994,0.5434324692772783,0.39291431414692296
19,0.38011029746729075,0.5525359634271602,0.39004467043680013,0.3507557362318039,0.5428604213925807,0.390370377379915
20,0.37128630649183214,0.5577374123728153,0.39589538540422303,0.3628241309653158,0.42863370623925456,0.2952190674841404
