epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,0.5339344098650176,0.43413648939338223,0.2875482841298498,0.4783583879470825,0.4791745384399955,0.3288100709182185
2,0.4936260498803237,0.43393148096470996,0.28720743494301004,0.4605505708101633,0.41125675220344515,0.2769101737318812
3,0.48578654527664183,0.4223975736647844,0.2821302893346754,0.4523810591246631,0.44008806116274884,0.30214164481573813
4,0.4736707588721966,0.4506060472850142,0.3039530872784812,0.938958325901547,0.44872019500345794,0.30411749997654475
5,0.4684088330844353,0.4693632843679395,0.31855702690523247,0.4596777775803128,0.5086563459119281,0.36012090445571654
6,0.46718301485324726,0.46196697536727477,0.31305241939322703,0.46823658411567276,0.3158766234020789,0.2062548795857503
7,0.4640382717395651,0.468067619589896,0.316794956873717,0.5365985068115028,0.5285328646769395,0.3793431497304826
8,0.45859140301572865,0.49760421380914494,0.3430792052684159,0.4375135197832778,0.5316491276025772,0.3805986139419916
9,0.46102422927987985,0.46533286013993724,0.31833931408051785,0.4243866152860023,0.48864172680957896,0.34305837609477946
10,0.4633601112612363,0.4768518475109133,0.3277379822885168,0.42340882646070943,0.502994081659897,0.35704663919435964
11,0.4474995968670681,0.49922219504570137,0.3441835487454102,0.41149880435015707,0.5178796211005868,0.3753686776586078
12,0.45500425326413124,0.4865712003461246,0.3358507368456701,0.4594354122071653,0.5310236626380199,0.3804243573465863
13,0.45123086325053513,0.4982695936129011,0.3455833663328968,0.4428464613250784,0.419944787750373,0.28691809783010064
14,0.45236820516915155,0.4980131995061348,0.34635927723399523,0.4161519996217779,0.538497614900808,0.39711263655005274
15,0.4507325965782692,0.48427011509393825,0.33316689734828886,0.4428236412035452,0.4794992591078217,0.33401321886560403
16,0.4526865580986286,0.483393013657167,0.33468477950784664,0.41012444165912837,0.5129005422161238,0.3697065958954595
17,0.44402513134068455,0.5031800769526383,0.3496077229236734,0.408222249230823,0.5348925230068129,0.38977550891404217
18,0.443355570373864,0.504969450105624,0.3526501860276892,0.44190147438564814,0.36514198498180506,0.2426844006407736
19,0.43846310140757727,0.507326268045039,0.3562092354456926,0.4075081364528553,0.5491252545065977,0.4079232051012081
20,0.44083085471186145,0.4950886660608752,0.34748566667067593,0.4181976845941028,0.5484459895539928,0.40349736726666624
