output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,1354,85302,62052,62052,0.05917740
1,0,1,-15539,-978957,-1002207,0,0.00000000
2,0,2,-10987,-692181,-715431,0,0.00000000
3,0,3,-7106,-447678,-470928,0,0.00000000
4,1,0,1761,110943,87693,87693,0.08363056
5,1,1,16166,1018458,995208,995208,0.94910431
6,1,2,-8780,-553140,-576390,0,0.00000000
7,1,3,-12763,-804069,-827319,0,0.00000000
8,2,0,27075,1705725,1682475,1682475,1.60453320
9,2,1,4463,281169,257919,257919,0.24597073
10,2,2,2359,148617,125367,125367,0.11955929
11,2,3,293,18459,-4791,0,0.00000000
12,3,0,12380,779940,756690,756690,0.72163582
13,3,1,969,61047,37797,37797,0.03604603
14,3,2,16240,1023120,999870,999870,0.95355034
15,3,3,1210,76230,52980,52980,0.05052567
